ip,round,value,rel
192.168.57.5,1098,7.41579939420882,1
192.168.57.5,1191,7.42796083501662,1
192.168.57.5,1283,12.2324410109938,1
192.168.57.5,1376,8.21137418694108,1
192.168.57.5,1469,8.50557828197639,1
192.168.57.5,1563,7.82106371499236,1
192.168.57.5,1657,8.16446303920389,1
192.168.57.5,1751,7.8564291992954,1
192.168.57.5,1843,8.0190054682139,1
192.168.57.5,1938,7.34175185831127,1
192.168.57.5,2030,7.25550837016821,1
192.168.57.5,2123,7.26644226398777,1
192.168.57.5,2213,11.8869113601345,1
192.168.57.5,2303,8.0898746116707,1
192.168.57.5,2391,8.38439564799556,1
192.168.57.5,2483,7.72403820459727,1
192.168.57.5,2572,8.05771834702742,1
192.168.57.5,2662,7.78508289577059,1
192.168.57.5,2731,7.94050223352086,0
192.168.57.5,2732,7.94386195092605,1
192.168.57.5,2767,8.05223837621023,1
192.168.57.5,2768,8.05500644481703,1
192.168.57.5,3121,12.9992435495224,1
192.168.57.5,3190,9.35098479283377,1
192.168.57.5,3269,8.7917184249988,1
192.168.57.5,3362,7.80108128427476,1
192.168.57.5,3453,8.45088940559459,1
192.168.57.5,3542,8.22520881079103,1
192.168.57.5,3622,8.3716642344067,1
192.168.57.5,3693,8.39302832625235,1
192.168.57.5,3776,8.37868180069362,1
192.168.57.5,3861,8.36601042539173,1
192.168.57.5,3944,12.3082521601883,1
192.168.57.5,4036,9.0015278527702,1
192.168.57.5,4125,8.68795509843502,1
192.168.57.5,4216,7.77580138683169,1
192.168.57.5,4308,8.44581168101348,1
192.168.57.5,4398,8.21128733990512,1
192.168.57.5,4489,8.37351461710688,1
192.168.57.5,4579,8.38582686548917,0.833333333333333
192.168.57.5,4669,8.37105891775063,0.833333333333333
192.168.57.5,4759,8.36149962863339,0.833333333333333
192.168.57.6,26,5.98390407864309,1
192.168.57.6,120,7.87996202865309,1
192.168.57.6,213,7.99958937996832,1
192.168.57.6,306,7.96422163425299,1
192.168.57.6,399,8.28621728546129,1
192.168.57.6,492,8.86388209057183,1
192.168.57.6,584,6.43222736293556,1
192.168.57.6,678,7.93711104852388,1
192.168.57.6,771,8.6202142442306,1
192.168.57.6,861,8.73899806348171,1
192.168.57.6,953,7.78718958689833,1
192.168.57.6,1047,7.4920600428638,1
192.168.57.6,1139,7.46103171659018,1
192.168.57.6,1232,7.44872879352703,1
192.168.57.6,1325,7.80849876979097,1
192.168.57.6,1418,8.50269744309188,1
192.168.57.6,1510,6.30322458407683,1
192.168.57.6,1604,7.67049058427857,1
192.168.57.6,1698,8.36567846996649,1
192.168.57.6,1791,8.48856363707539,1
192.168.57.6,1884,7.59913953111072,1
192.168.57.6,1978,7.32514007130135,1
192.168.57.6,2070,7.29677130556635,1
192.168.57.6,2162,7.28559138700984,1
192.168.57.6,2252,7.66200817652018,1
192.168.57.6,2341,8.37671545776451,1
192.168.57.6,2430,6.26314445716469,1
192.168.57.6,2521,7.57375746626413,1
192.168.57.6,2612,8.26289115663331,1
192.168.57.6,2703,8.43500299248841,1
192.168.57.6,2796,8.39881742558294,0.5
192.168.57.6,2888,8.37234253040437,0.5
192.168.57.6,2980,8.36078699643236,0.5
192.168.57.6,3070,8.35616135976883,0.5
192.168.57.6,3149,8.51095337210588,1
192.168.57.6,3223,8.70961399776607,1
192.168.57.6,3306,6.31316790679481,1
192.168.57.6,3398,7.82732774675475,1
192.168.57.6,3488,8.47586888997714,1
192.168.57.6,3577,8.47694791033894,1
192.168.57.6,3651,8.41169080259183,1
192.168.57.6,3729,8.38096764364689,1
192.168.57.6,3813,8.36624882896877,1
192.168.57.6,3895,8.35942460488794,1
192.168.57.6,3982,8.56390596288052,1
192.168.57.6,4072,8.69531359294231,1
192.168.57.6,4161,6.34249400472022,1
192.168.57.6,4253,7.82527785380834,1
192.168.57.6,4345,8.47297084214769,1
192.168.57.6,4435,8.46835858461149,1
192.168.57.6,4525,8.39884813418272,0.833333333333333
192.168.57.6,4615,8.37287482724315,0.833333333333333
192.168.57.6,4705,8.36196973979557,0.833333333333333
192.168.57.6,4795,8.35705406836162,0.833333333333333
192.168.57.6,4885,8.55822626798016,0.833333333333333
192.168.57.6,4976,8.69480297952268,0.833333333333333
192.168.57.4,51,5.81654722605081,1
192.168.57.4,144,7.1923049962178,1
192.168.57.4,238,7.65809343495148,1
192.168.57.4,331,7.82416522276647,1
192.168.57.4,423,8.38792378082228,1
192.168.57.4,516,8.69553371111557,1
192.168.57.4,609,8.76345664330285,1
192.168.57.4,702,8.46165373092424,1
192.168.57.4,795,5.55018844660082,1
192.168.57.4,884,7.34362223752639,1
192.168.57.4,979,7.07714881921348,1
192.168.57.4,1071,7.26869205460971,1
192.168.57.4,1164,7.37367459266668,1
192.168.57.4,1257,7.41426659191732,1
192.168.57.4,1349,7.96331115168516,1
192.168.57.4,1443,8.3030367605226,1
192.168.57.4,1536,8.4027324850151,1
192.168.57.4,1630,8.13748973210868,1
192.168.57.4,1724,5.48274201462838,1
192.168.57.4,1817,7.21763952422298,1
192.168.57.4,1910,6.94532256254091,1
192.168.57.4,2003,7.12059005573077,1
192.168.57.4,2096,7.21678147297839,1
192.168.57.4,2186,7.25323361091066,1
192.168.57.4,2277,7.81798597791312,1
192.168.57.4,2365,8.15705424059485,1
192.168.57.4,2456,8.27666636275098,1
192.168.57.4,2546,8.03855214348869,1
192.168.57.4,2637,5.49703135354823,1
192.168.57.4,2728,7.20866868654756,1
192.168.57.4,2823,7.91256315975093,0
192.168.57.4,2914,8.17653521000929,0
192.168.57.4,2933,8.20721366069435,0
192.168.57.4,3095,8.32439879067519,0
192.168.57.4,3168,9.03843222459008,1
192.168.57.4,3239,8.70348785401236,1
192.168.57.4,3332,8.21447901996242,1
192.168.57.4,3424,8.87366855332155,1
192.168.57.4,3514,6.49457694195879,1
192.168.57.4,3598,8.28477117820349,1
192.168.57.4,3670,8.38444230414164,1
192.168.57.4,3754,8.37699040558547,1
192.168.57.4,3837,8.36536453166542,1
192.168.57.4,3915,8.35925226733728,1
192.168.57.4,4007,8.95176968046121,1
192.168.57.4,4096,8.60826268923343,1
192.168.57.4,4187,8.18511675242689,1
192.168.57.4,4279,8.82189975244737,1
192.168.57.4,4372,6.55101148912407,1
192.168.57.4,4461,8.29845089630483,1
192.168.57.4,4551,8.38207279466534,0.833333333333333
192.168.57.4,4642,8.37060447896773,0.833333333333333
192.168.57.4,4731,8.36134049776437,0.833333333333333
192.168.57.4,4821,8.35676325492962,0.833333333333333
192.168.57.4,4911,8.95814450610253,0.833333333333333
192.168.57.4,5002,8.60718114886074,0.833333333333333
192.168.57.4,5088,8.20332660225598,0.833333333333333
192.168.57.4,5174,8.85967075564887,0.833333333333333
192.168.57.2,4061,9.11508269650942,1
192.168.57.2,4150,8.18536570289104,1
192.168.57.2,4242,7.87330933828319,1
192.168.57.2,4334,8.90999802977982,1
192.168.57.2,4424,8.49566371772031,1
192.168.57.2,4514,8.40485195925025,0.833333333333333
192.168.57.2,4604,8.37746412378904,0.833333333333333
192.168.57.2,4694,8.36417771870887,0.833333333333333
192.168.57.2,4784,8.3580318192913,0.833333333333333
192.168.57.2,4873,9.06538290492832,0.833333333333333
192.168.57.2,4965,9.08004100429269,0.833333333333333
192.168.57.2,5054,8.18565292108507,0.833333333333333
192.168.57.2,5138,7.85203963548971,0.833333333333333
192.168.57.2,5229,8.91114090705067,0.833333333333333
192.168.57.2,5320,8.4930109876582,0.833333333333333
192.168.57.2,5410,8.40411255921278,0.833333333333333
192.168.57.2,5501,8.37691159202164,0.833333333333333
192.168.57.2,5575,8.36560170216576,0.833333333333333
192.168.57.2,5661,8.35888928155211,0.833333333333333
192.168.57.2,5746,9.07761238320844,0.833333333333333
192.168.57.2,5819,9.13187858285958,0.833333333333333
192.168.57.2,5909,8.20051754890992,0.833333333333333
192.168.57.2,5999,7.87442354055303,0.833333333333333
192.168.57.2,6089,8.91584682101749,0.833333333333333
192.168.57.2,6179,8.49702710026099,0.833333333333333
192.168.57.2,6272,8.40471019720077,0.833333333333333
192.168.57.2,6358,8.37817395476727,0.833333333333333
192.168.57.2,6447,8.36459957574711,0.833333333333333
192.168.57.2,6541,8.35804784123174,0.833333333333333
192.168.57.2,6633,9.04957729616764,0.833333333333333
192.168.57.2,6724,9.09318895836585,0.833333333333333
192.168.57.2,6816,8.1412450314185,0.833333333333333
192.168.57.2,6909,7.87592387183212,0.833333333333333
192.168.57.2,7002,8.90905153724115,0.833333333333333
192.168.57.2,7096,8.48550891453592,0.833333333333333
192.168.57.2,7189,8.4041325743899,0.666666666666667
192.168.57.2,7284,8.39163443429378,0.666666666666667
192.168.57.2,7377,8.38869807079431,0.666666666666667
192.168.57.2,7460,8.38861979501194,0.666666666666667
192.168.57.2,7546,9.2016688324931,0.666666666666667
192.168.57.2,7637,9.08368417682452,0.666666666666667
192.168.57.2,7730,8.49395594728964,0.666666666666667
192.168.57.2,7823,8.41591437652063,0.666666666666667
192.168.57.2,7916,8.84030190116366,0.666666666666667
192.168.57.2,8008,8.37575678913893,0.666666666666667
192.168.57.2,8098,8.35906920659099,0.666666666666667
192.168.57.2,8187,8.37857999388696,0.666666666666667
192.168.57.2,8280,8.38583938050273,0.666666666666667
192.168.57.2,8371,8.38787804629879,0.666666666666667
192.168.57.2,8464,9.20146672763021,0.666666666666667
192.168.57.2,8556,9.08155912426282,0.666666666666667
192.168.57.2,8648,8.49440169932121,0.666666666666667
192.168.57.2,8739,8.41644191276349,0.666666666666667
192.168.57.2,8823,8.89751271107598,0.666666666666667
192.168.57.2,8906,8.40671961306227,0.666666666666667
192.168.57.2,8985,8.3591161782092,0.666666666666667
192.168.57.2,9065,8.37596808320983,0.666666666666667
192.168.57.2,9151,8.38467930164477,0.666666666666667
192.168.57.2,9229,8.38732008814102,0.666666666666667
192.168.57.2,9308,9.21825295201883,0.666666666666667
192.168.57.1,4280,12.9091217900615,1
192.168.57.1,4372,9.08840997017547,1
192.168.57.1,4462,8.52379245285395,1
192.168.57.1,4552,8.40215703561157,0.833333333333333
192.168.57.1,4642,8.3701325132129,0.833333333333333
192.168.57.1,4732,8.35989810223349,0.833333333333333
192.168.57.1,4822,8.35598544069438,0.833333333333333
192.168.57.1,4911,8.42092559230878,0.833333333333333
192.168.57.1,5002,8.49363084987317,0.833333333333333
192.168.57.1,5091,7.77603703630472,0.833333333333333
192.168.57.1,5177,12.9035045238757,0.833333333333333
192.168.57.1,5268,9.09680846004151,0.833333333333333
192.168.57.1,5360,8.51913695747823,0.833333333333333
192.168.57.1,5451,8.40040072383802,0.833333333333333
192.168.57.1,5539,8.36993516980061,0.833333333333333
192.168.57.1,5607,8.36143145707649,0.833333333333333
192.168.57.1,5698,8.35655945705092,0.833333333333333
192.168.57.1,5782,8.41596181148052,0.833333333333333
192.168.57.1,5857,8.49450242459237,0.833333333333333
192.168.57.1,5947,7.77766396730453,0.833333333333333
192.168.57.1,6037,12.7200522403781,0.833333333333333
192.168.57.1,6127,9.08851334171124,0.833333333333333
192.168.57.1,6218,8.5214700331653,0.833333333333333
192.168.57.1,6305,8.40373375864235,0.833333333333333
192.168.57.1,6397,8.37034881947048,0.833333333333333
192.168.57.1,6486,8.36007869464251,0.833333333333333
192.168.57.1,6577,8.35603499800921,0.833333333333333
192.168.57.1,6669,8.42374731610093,0.833333333333333
192.168.57.1,6758,8.49094331765655,0.833333333333333
192.168.57.1,6849,7.77107114579292,0.833333333333333
192.168.57.1,6940,12.6304313277752,0.833333333333333
192.168.57.1,7032,9.05239580330201,0.833333333333333
192.168.57.1,7126,8.50876837977092,0.833333333333333
192.168.57.1,7218,8.40516048050716,0
192.168.57.1,7308,8.38864151391958,0
192.168.57.1,7396,8.38796983660312,0.666666666666667
192.168.57.1,7478,8.38862837805228,0.666666666666667
192.168.57.1,7569,8.96909031971414,0.666666666666667
192.168.57.1,7662,8.5820354818616,0.666666666666667
192.168.57.1,7755,8.44654258290898,0.666666666666667
192.168.57.1,7848,11.8890536742991,0.666666666666667
192.168.57.1,7941,8.66577543632221,0.666666666666667
192.168.57.1,8030,8.35136378880109,0.666666666666667
192.168.57.1,8121,8.3688244253771,0.666666666666667
192.168.57.1,8211,8.38254894990036,0.666666666666667
192.168.57.1,8304,8.38697904979207,0.666666666666667
192.168.57.1,8396,8.38820838530535,0.666666666666667
192.168.57.1,8489,8.95463288921801,0.666666666666667
192.168.57.1,8581,8.58085920599181,0.666666666666667
192.168.57.1,8673,8.44691572026783,0.666666666666667
192.168.57.1,8763,11.8892880861172,0.666666666666667
192.168.57.1,8846,8.74010667591278,0.666666666666667
192.168.57.1,8923,8.36808569325303,0.666666666666667
192.168.57.1,9008,8.36715992232794,0.666666666666667
192.168.57.1,9088,8.38063851478518,0.666666666666667
192.168.57.1,9176,8.38622622657556,0.666666666666667
192.168.57.1,9252,8.38782360958701,0.666666666666667
192.168.57.1,9337,8.98224167287828,0.666666666666667
192.168.57.1,9427,8.594079411991,0.666666666666667
192.168.57.1,9515,8.4536341797763,0.666666666666667
192.168.57.3,89,8.1363176562882,1
192.168.57.3,182,7.95864980318492,1
192.168.57.3,275,7.93167891239072,1
192.168.57.3,367,8.82984644503715,1
192.168.57.3,461,8.84052917409696,1
192.168.57.3,552,8.92393613939661,1
192.168.57.3,646,8.28500571327244,1
192.168.57.3,739,8.50434093947368,1
192.168.57.3,830,8.61152974770051,1
192.168.57.3,921,5.92232406279774,1
192.168.57.3,1015,7.39163280326362,1
192.168.57.3,1108,7.44210566850523,1
192.168.57.3,1200,7.44056728355961,1
192.168.57.3,1293,8.419248108525,1
192.168.57.3,1386,8.44975737089325,1
192.168.57.3,1479,8.57520552886463,1
192.168.57.3,1573,7.98564805029003,1
192.168.57.3,1667,8.23895708838042,1
192.168.57.3,1761,8.36498812659215,1
192.168.57.3,1853,5.86093789389749,1
192.168.57.3,1948,7.23423839110077,1
192.168.57.3,2040,7.27949669827905,1
192.168.57.3,2133,7.27806341080222,1
192.168.57.3,2222,8.31372915257842,1
192.168.57.3,2311,8.32435246943425,1
192.168.57.3,2400,8.46359310906919,1
192.168.57.3,2492,7.89151083387003,1
192.168.57.3,2582,8.13606818964237,1
192.168.57.3,2671,8.34395124700226,1
192.168.57.3,2764,6.06343950413809,0
192.168.57.3,2858,7.99585885647478,0
192.168.57.3,2947,8.2797473443753,0
192.168.57.3,3038,8.32713540875355,0
192.168.57.3,3122,8.33445657508541,0
192.168.57.3,3194,8.33571545554232,0
192.168.57.3,3276,8.33602577731803,0
192.168.57.3,3369,8.33608776263002,0
192.168.57.3,3459,8.33609712515928,0
192.168.57.3,3549,8.33609864479677,0
192.168.57.3,3626,5.61026321490088,0
192.168.57.3,3701,7.73705958306147,0
192.168.57.3,3785,8.22633853088454,0
192.168.57.3,3870,8.31639005004076,0
192.168.57.3,3952,8.33233883093316,0
192.168.57.3,4044,8.33551280199678,0
192.168.57.3,4133,8.33600186141257,0
192.168.57.3,4224,8.33608349761857,0
192.168.57.3,4316,8.33609653215384,0
192.168.57.3,4407,8.33609855635964,0
192.168.57.3,4497,5.7705641621779,0
192.168.57.3,4586,7.91118728510416,0
192.168.57.3,4677,8.26851063804807,0
192.168.57.3,4767,8.32512864331145,0
192.168.57.3,4856,8.33428200554343,0
192.168.57.3,4947,8.33580992984193,0
192.168.57.3,5036,8.33605107262783,0
192.168.57.3,5121,8.33609034417704,0
192.168.57.3,5212,8.33609757207306,0
192.168.57.3,5303,8.33609872177372,0
192.168.57.3,5394,5.87215933934962,0
192.168.57.3,5483,7.928013786608,0
192.168.57.3,5561,8.25169072776066,0
192.168.57.3,5643,8.31999534182162,0
192.168.57.3,5731,8.33337738141874,0
192.168.57.3,5804,8.33547617869453,0
192.168.57.3,5894,8.33599785861995,0
192.168.57.3,5984,8.33608253278785,0
192.168.57.3,6074,8.3360962763006,0
192.168.57.3,6164,8.33609850701803,0
192.168.57.3,6256,6.01705869934006,0
192.168.57.3,6343,7.93617548966067,0
192.168.57.3,6432,8.26986240407194,0
192.168.57.3,6526,8.32618266060328,0
192.168.57.3,6618,8.3345531592367,0
192.168.57.3,6709,8.33585306073116,0
192.168.57.3,6801,8.33606061094328,0
192.168.57.3,6891,8.33609271815343,0
192.168.57.3,6981,8.33609792949313,0
192.168.57.3,7075,8.33609878807197,0
192.168.57.3,7167,6.06343950413809,0
192.168.57.3,7261,7.99585885647478,0
192.168.57.3,7354,8.2841220223717,0
192.168.57.3,7443,8.32749036456087,0
192.168.57.3,7525,8.33445657508541,0
192.168.57.3,7617,8.33584292246689,0
192.168.57.3,7710,8.33605982873311,0
192.168.57.3,7803,8.33609296450852,0
192.168.57.3,7895,8.33609800788175,0
192.168.57.3,7986,8.33609879109536,0
192.168.57.3,8076,6.01705869934006,0
192.168.57.3,8165,7.95201245826407,0
192.168.57.3,8258,8.27742380922672,0
192.168.57.3,8349,8.32676581711744,0
192.168.57.3,8442,8.33467316098271,0
192.168.57.3,8534,8.33587668454252,0
192.168.57.3,8625,8.33606358643959,0
192.168.57.3,8717,8.33609342833803,0
192.168.57.3,8803,8.33609796947916,0
192.168.57.3,8886,8.33609875792823,0
192.168.57.3,8964,6.01705869934006,0
192.168.57.3,9045,7.88463775583011,0
192.168.57.3,9130,8.2550332929353,0
192.168.57.3,9210,8.31999534182162,0
192.168.57.3,9287,8.33270009914337,0
192.168.57.3,9377,8.33554727155586,0
192.168.57.3,9467,8.33600939774305,0
192.168.57.3,9557,8.33608440570953,0
192.168.57.3,9649,8.33609667370985,0
192.168.57.3,9733,8.33609852413409,0
192.168.57.5,4849,12.3074921103764,0.833333333333333
192.168.57.5,4939,9.03170201001928,0.833333333333333
192.168.57.5,5028,8.69002290845768,0.833333333333333
192.168.57.5,5114,7.77381527890801,0.833333333333333
192.168.57.5,5204,8.43456289217176,0.833333333333333
192.168.57.5,5296,8.21375102695641,0.833333333333333
192.168.57.5,5387,8.37632691557972,0.833333333333333
192.168.57.5,5476,8.38552672329151,0.833333333333333
192.168.57.5,5555,8.37231043258998,0.833333333333333
192.168.57.5,5635,8.36298003457454,0.833333333333333
192.168.57.5,5725,12.3077034355815,0.833333333333333
192.168.57.5,5793,9.29535946432564,0.833333333333333
192.168.57.5,5885,8.73121044221459,0.833333333333333
192.168.57.5,5974,7.78793722194336,0.833333333333333
192.168.57.5,6064,8.45906147015217,0.833333333333333
192.168.57.5,6154,8.21857511873011,0.833333333333333
192.168.57.5,6247,8.37868077904513,0.833333333333333
192.168.57.5,6335,8.38693519240127,0.833333333333333
192.168.57.5,6422,8.37189129475296,0.833333333333333
192.168.57.5,6515,8.36167148107335,0.833333333333333
192.168.57.5,6608,12.1034389751223,0.833333333333333
192.168.57.5,6700,8.99379175078953,0.833333333333333
192.168.57.5,6791,8.67522478439209,0.833333333333333
192.168.57.5,6882,7.77684267430206,0.833333333333333
192.168.57.5,6972,8.49039773441544,0.833333333333333
192.168.57.5,7065,8.22158887945459,0.833333333333333
192.168.57.5,7157,8.37857151576312,0.833333333333333
192.168.57.5,7248,8.39802393185675,0.666666666666667
192.168.57.5,7341,8.39634417479216,0.666666666666667
192.168.57.5,7428,8.39521885697623,0.666666666666667
192.168.57.5,7509,12.1218429546333,0.666666666666667
192.168.57.5,7601,9.05006163192143,0.666666666666667
192.168.57.5,7693,8.62296245502655,0.666666666666667
192.168.57.5,7785,8.45642716416131,0.666666666666667
192.168.57.5,7877,8.76429872868675,0.666666666666667
192.168.57.5,7970,8.15428697138897,0.666666666666667
