ip,round,value
10.42.0.120,1027,5.485719325335701
10.42.0.120,1089,5.192189485625051
10.42.0.120,1141,5.5945519357923645
10.42.0.120,1160,5.880424321928057
10.42.0.120,1169,13.575077467017696
10.42.0.120,1186,10.750612968062395
10.42.0.120,1218,8.227865141013787
10.42.0.120,1261,7.517187797413325
10.42.0.120,1337,8.116765417089388
10.42.0.120,1415,8.333218443867503
10.42.0.120,1476,8.35680576848401
10.42.0.120,1529,8.362189125784909
10.42.0.120,1588,8.357576864623622
10.42.0.120,1647,14.817896084482904
10.42.0.120,1698,10.335535191008983
10.42.0.120,1747,9.095049264708727
10.42.0.120,1763,8.75872018597292
10.42.0.120,1780,8.625619973241061
10.42.0.120,1790,8.60614596265046
10.42.0.120,1827,8.67364199954573
10.42.0.120,1884,8.809004490987636
10.42.0.120,1952,8.256596371736684
10.42.0.120,2026,8.253754589397946
10.42.0.120,2099,13.277040046732498
10.42.0.120,2151,10.382747558414927
10.42.0.120,2217,9.68792121044992
10.42.0.120,2264,9.56679067393042
10.42.0.120,2319,9.610078784127454
10.42.0.120,2363,9.651922902577857
10.42.0.120,2383,9.659091910509867
10.42.0.120,2398,9.656613834931685
10.42.0.120,2409,9.650032697208099
10.42.0.120,2474,9.758465774283275
10.42.0.120,2542,13.717818590441702
10.42.0.120,2626,9.101584221338893
10.42.0.120,2672,9.119297563485036
10.42.0.120,2736,9.181624475835171
10.42.0.120,2818,8.928855768994385
10.42.0.120,2897,8.698558506482037
10.42.0.120,2964,9.130326550571894
10.42.0.120,3021,9.666584283003868
10.42.0.120,3074,9.846949649570037
10.42.0.120,3090,9.849434600581006
10.42.0.121,0,0.0
10.42.0.121,1,0.0
10.42.0.121,2,0.0
10.42.0.121,78,0.0
10.42.0.121,254,8.313750086983678
10.42.0.121,255,8.334803552684114
10.42.0.121,267,8.967908024768967
10.42.0.121,281,9.388030822584765
10.42.0.121,329,9.458710111825898
10.42.0.121,406,8.919688153826689
10.42.0.121,503,7.849320152714612
10.42.0.121,599,7.598331240760032
10.42.0.121,703,7.732109578773785
10.42.0.121,808,7.956864577265287
10.42.0.121,901,8.851161056234451
10.42.0.121,1001,9.711562607041516
10.42.0.121,1097,9.992562858595946
10.42.0.121,1192,9.486162071744896
10.42.0.121,1252,9.06330399558316
10.42.0.121,1280,8.899912588042517
10.42.0.121,1310,6.473668304774815
10.42.0.121,1391,7.691777788535504
10.42.0.121,1485,8.656131167229187
10.42.0.121,1588,9.162010404606681
10.42.0.121,1698,10.346151054556623
10.42.0.121,1799,10.25060483718138
10.42.0.121,1899,9.846458737376908
10.42.0.121,1993,9.506210701076437
10.42.0.121,2081,8.887869836314241
10.42.0.121,2178,5.0828223056116935
10.42.0.121,2275,8.824200192759237
10.42.0.121,2317,9.258287880556466
10.42.0.121,2354,9.451383395605175
10.42.0.121,2378,9.52131724723767
10.42.0.121,2472,9.48691014773248
10.42.0.121,2569,10.087532202213014
10.42.0.121,2676,10.572532507168047
10.42.0.121,2784,10.261206737870571
10.42.0.121,2890,9.308650151477847
10.42.0.121,2981,5.1736448796896415
10.42.0.121,3078,9.03848481650663
10.42.0.121,3176,9.823488690510525
10.42.0.121,3273,10.02172657848869
10.42.0.121,3369,10.747360413109886
10.42.0.121,3398,10.982032905067934
10.42.0.121,3423,11.103424532858877
10.42.0.121,3459,11.017078903569008
10.42.0.121,3550,10.34533114589773
10.42.0.121,3639,9.945920800987182
10.42.0.121,3742,5.712858244548697
10.42.0.121,3847,8.512912353321171
10.42.0.121,3956,9.666655327608233
10.42.0.121,4056,10.089633916678874
10.42.0.121,4131,10.350162636783615
10.42.0.121,4223,11.36993920314522
10.42.0.121,4320,11.050564057434325
10.42.0.121,4400,10.352538428763799
10.42.0.121,4433,10.152277332163338
10.42.0.121,4454,10.058500945586701
10.42.0.123,0,0.0
10.42.0.123,1,0.0
10.42.0.123,131,0.0
10.42.0.123,334,4.13517343339696
10.42.0.123,420,5.865445113304916
10.42.0.123,450,6.199749491378616
10.42.0.123,538,6.664247684486726
10.42.0.123,686,6.883883709746061
10.42.0.123,767,7.474243685395308
10.42.0.123,856,9.345840955797984
10.42.0.123,947,7.897814062768855
10.42.0.123,984,8.256058364461309
10.42.0.123,1021,8.440361848796579
10.42.0.123,1061,8.493443820706453
10.42.0.123,1181,7.629152073880348
10.42.0.123,1319,8.306227313084742
10.42.0.123,1407,8.92892785696874
10.42.0.123,1498,9.43841940327013
