ip,round,value
10.42.0.116,1520,0.0
10.42.0.116,1550,0.0
10.42.0.116,1582,0.0
10.42.0.116,1614,0.0
10.42.0.116,1645,0.0
10.42.0.116,1672,0.0
10.42.0.116,1700,0.0
10.42.0.116,1730,0.0
10.42.0.116,1758,0.0
10.42.0.116,1791,0.0
10.42.0.116,1799,0.0
10.42.0.118,526,0.0
10.42.0.118,562,0.0
10.42.0.118,601,0.0
10.42.0.118,637,0.0
10.42.0.118,670,0.0
10.42.0.118,703,0.0
10.42.0.118,717,0.0
10.42.0.118,732,0.0
10.42.0.118,746,0.0
10.42.0.118,771,0.0
10.42.0.118,799,0.0
10.42.0.118,826,0.0
10.42.0.118,855,0.0
10.42.0.118,882,0.0
10.42.0.118,916,0.0
10.42.0.118,947,0.0
10.42.0.118,978,0.0
10.42.0.118,1007,0.0
10.42.0.118,1037,0.0
10.42.0.118,1050,0.0
10.42.0.118,1061,0.0
10.42.0.118,1073,0.0
10.42.0.118,1100,0.0
10.42.0.118,1130,0.0
10.42.0.118,1161,0.0
10.42.0.118,1193,0.0
10.42.0.118,1226,0.0
10.42.0.118,1263,0.0
10.42.0.118,1301,0.0
10.42.0.118,1336,0.0
10.42.0.118,1369,0.0
10.42.0.118,1401,0.0
10.42.0.118,1415,0.0
10.42.0.118,1430,0.0
10.42.0.118,1444,0.0
10.42.0.118,1477,0.0
10.42.0.118,1512,0.0
10.42.0.118,1546,0.0
10.42.0.118,1577,0.0
10.42.0.118,1608,0.0
10.42.0.118,1638,0.0
10.42.0.118,1671,0.0
10.42.0.118,1696,0.0
10.42.0.118,1723,0.0
10.42.0.118,1751,0.0
10.42.0.118,1762,0.0
10.42.0.118,1771,0.0
10.42.0.118,1783,0.0
10.42.0.118,1785,0.0
10.42.0.119,1050,0.0
10.42.0.119,1097,0.0
10.42.0.119,1139,0.0
10.42.0.119,1174,0.0
10.42.0.119,1216,0.0
10.42.0.119,1264,0.0
10.42.0.119,1312,0.0
10.42.0.119,1350,0.0
10.42.0.119,1388,0.0
10.42.0.119,1400,0.0
10.42.0.119,1415,0.0
10.42.0.119,1428,0.0
10.42.0.119,1462,0.0
10.42.0.119,1497,0.0
10.42.0.119,1538,0.0
10.42.0.119,1580,0.0
10.42.0.119,1622,0.0
10.42.0.119,1677,0.0
10.42.0.119,1736,0.0
10.42.0.119,1794,0.0
10.42.0.119,1844,0.0
10.42.0.119,1890,0.0
10.42.0.119,1906,0.0
10.42.0.119,1925,0.0
10.42.0.119,1944,0.0
10.42.0.119,1986,0.0
10.42.0.119,2034,0.0
10.42.0.119,2084,0.0
10.42.0.119,2125,0.0
10.42.0.119,2165,0.0
10.42.0.119,2216,0.0
10.42.0.119,2269,0.0
10.42.0.119,2317,0.0
10.42.0.119,2353,0.0
10.42.0.119,2384,0.0
10.42.0.119,2397,0.0
10.42.0.119,2409,0.0
10.42.0.119,2421,0.0
10.42.0.119,2455,0.0
10.42.0.119,2486,0.0
10.42.0.119,2521,0.0
10.42.0.119,2561,0.0
10.42.0.119,2601,0.0
10.42.0.119,2647,0.0
10.42.0.119,2720,0.0
10.42.0.119,2797,0.0
10.42.0.119,2875,0.0
10.42.0.119,2950,0.0
10.42.0.119,2990,0.0
10.42.0.119,3019,0.0
10.42.0.119,3065,0.0
10.42.0.119,3139,0.0
10.42.0.119,3213,0.0
10.42.0.119,3277,0.0
10.42.0.119,3327,0.0
10.42.0.119,3378,0.0
10.42.0.119,3448,0.0
10.42.0.119,3514,0.0
10.42.0.119,3577,0.0
10.42.0.119,3620,0.0
10.42.0.121,1295,0.0
10.42.0.121,1330,0.0
10.42.0.121,1365,0.0
10.42.0.121,1402,0.0
10.42.0.121,1443,0.0
10.42.0.121,1486,0.0
10.42.0.121,1534,0.0
10.42.0.121,1585,0.0
10.42.0.121,1637,0.0
10.42.0.121,1683,0.0
10.42.0.121,1720,0.0
10.42.0.121,1738,0.0
10.42.0.121,1756,0.0
10.42.0.121,1786,0.0
10.42.0.121,1828,0.0
10.42.0.121,1870,0.0
10.42.0.121,1912,0.0
10.42.0.121,1954,0.0
10.42.0.121,1992,0.0
10.42.0.121,2037,0.0
10.42.0.121,2083,0.0
10.42.0.121,2130,0.0
10.42.0.121,2170,0.0
10.42.0.121,2195,0.0
10.42.0.121,2209,0.0
10.42.0.121,2223,0.0
10.42.0.121,2249,0.0
10.42.0.121,2285,0.0
10.42.0.121,2319,0.0
10.42.0.121,2352,0.0
10.42.0.121,2387,0.0
10.42.0.121,2425,0.0
10.42.0.121,2450,0.0
10.42.0.121,2477,0.0
10.42.0.121,2529,0.0
10.42.0.121,2582,0.0
10.42.0.121,2616,0.0
10.42.0.121,2642,0.0
10.42.0.121,2669,0.0
10.42.0.121,2716,0.0
10.42.0.121,2769,0.0
10.42.0.121,2822,0.0
10.42.0.121,2874,0.0
10.42.0.121,2915,0.0
10.42.0.121,2955,0.0
10.42.0.121,2996,0.0
10.42.0.121,3039,0.0
10.42.0.121,3083,0.0
10.42.0.121,3121,0.0
10.42.0.121,3142,0.0
10.42.0.121,3156,0.0
10.42.0.121,3172,0.0
10.42.0.121,3205,0.0
10.42.0.121,3239,0.0
10.42.0.121,3272,0.0
10.42.0.121,3304,0.0
10.42.0.121,3337,0.0
10.42.0.121,3367,0.0
10.42.0.121,3405,0.0
10.42.0.121,3450,0.0
10.42.0.120,799,0.0
10.42.0.120,823,0.0
10.42.0.120,851,0.0
10.42.0.120,879,0.0
10.42.0.120,907,0.0
10.42.0.120,935,0.0
10.42.0.120,950,0.0
10.42.0.120,962,0.0
10.42.0.120,975,0.0
10.42.0.120,1008,0.0
10.42.0.120,1040,0.0
10.42.0.120,1073,0.0
10.42.0.120,1105,0.0
10.42.0.120,1137,0.0
10.42.0.120,1167,0.0
10.42.0.120,1199,0.0
10.42.0.120,1231,0.0
10.42.0.120,1262,0.0
10.42.0.120,1292,0.0
10.42.0.120,1303,0.0
10.42.0.120,1315,0.0
10.42.0.120,1330,0.0
10.42.0.120,1360,0.0
10.42.0.120,1391,0.0
10.42.0.120,1425,0.0
10.42.0.120,1458,0.0
10.42.0.120,1490,0.0
10.42.0.120,1522,0.0
10.42.0.120,1555,0.0
10.42.0.120,1584,0.0
10.42.0.120,1614,0.0
10.42.0.120,1634,0.0
10.42.0.120,1645,0.0
10.42.0.120,1653,0.0
10.42.0.120,1665,0.0
10.42.0.120,1688,0.0
10.42.0.120,1713,0.0
10.42.0.120,1725,0.0
10.42.0.120,1726,0.0
10.42.0.123,2116,0.0
10.42.0.123,2177,0.0
10.42.0.123,2241,0.0
10.42.0.123,2305,0.0
10.42.0.123,2375,0.0
10.42.0.123,2456,0.0
10.42.0.123,2536,0.0
10.42.0.123,2611,0.0
